Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2014-09-30 22:32:39;2014-10-01 06:03:53;86%;7:31;;;;0
2014-10-01 23:23:40;2014-10-02 06:04:48;86%;6:41;:|;;;0
2014-10-02 23:21:48;2014-10-03 06:09:05;69%;6:47;:(;;;0
2014-10-05 22:59:42;2014-10-06 06:00:47;71%;7:01;:|;;;0
2014-10-06 21:42:23;2014-10-07 06:00:09;69%;8:17;:(;;;0
2014-10-07 21:59:16;2014-10-08 06:00:32;81%;8:01;:|;;;0
2014-10-08 23:13:56;2014-10-09 05:58:18;78%;6:44;:|;;;0
2014-10-09 22:06:02;2014-10-10 05:55:46;83%;7:49;:|;;;0
2014-10-12 22:57:35;2014-10-13 06:00:40;40%;7:03;:|;;;0
2014-10-13 22:14:06;2014-10-14 05:42:41;80%;7:28;:|;;;0
2014-10-14 23:10:45;2014-10-15 06:15:18;80%;7:04;:|;;;0
2014-10-15 22:52:05;2014-10-16 06:05:25;81%;7:13;:|;;;0
2014-10-16 23:42:07;2014-10-17 06:24:52;69%;6:42;:|;;;0
2014-10-19 23:20:23;2014-10-20 06:04:50;71%;6:44;:|;;;0
2014-10-20 23:27:18;2014-10-21 06:14:00;76%;6:46;:|;;;0
2014-10-22 00:01:40;2014-10-22 06:05:53;68%;6:04;:|;;;0
2014-10-22 23:31:25;2014-10-23 06:10:38;75%;6:39;;;;0
2014-10-23 23:12:15;2014-10-24 06:10:40;76%;6:58;:|;;;0
2014-10-25 00:27:04;2014-10-25 07:30:03;79%;7:02;;;;0
2014-10-26 23:10:54;2014-10-27 06:00:12;80%;6:49;:(;;;0
2014-10-27 22:11:39;2014-10-28 05:41:56;82%;7:30;:|;;;0
2014-10-28 23:19:29;2014-10-29 06:00:27;76%;6:40;:|;;;0
2014-10-30 00:06:54;2014-10-30 06:10:44;71%;6:03;:|;;;0
2014-10-30 22:45:55;2014-10-31 06:09:50;85%;7:23;:|;;;0
2014-11-02 23:06:09;2014-11-03 05:59:58;77%;6:53;:|;;;0
2014-11-03 22:57:20;2014-11-04 05:30:13;73%;6:32;:|;;;0
2014-11-04 23:00:30;2014-11-05 05:30:37;71%;6:30;:|;;;0
2014-11-05 22:48:09;2014-11-06 05:29:53;78%;6:41;:|;;;0
2015-11-29 23:21:15;2015-11-30 05:31:30;67%;6:10;:|;;;2323
2015-12-01 00:58:52;2015-12-01 06:28:11;59%;5:29;:(;;;3624
2015-12-02 00:00:24;2015-12-02 06:14:34;64%;6:14;:|;;;4531
2015-12-02 22:39:21;2015-12-03 05:48:29;81%;7:09;:|;;;5751
2015-12-04 02:02:06;2015-12-04 06:17:35;45%;4:15;:|;;;4898
2015-12-06 23:12:19;2015-12-07 06:15:06;73%;7:02;:);;;8688
2015-12-08 00:15:33;2015-12-08 06:14:52;66%;5:59;:|;Worked on Kaggle at night;;3910
2015-12-08 22:53:08;2015-12-09 05:20:13;76%;6:27;:(;Drank tea;;6717
2015-12-09 20:54:49;2015-12-10 05:59:43;58%;9:04;:|;;;7871
2015-12-11 00:04:24;2015-12-11 06:00:14;66%;5:55;:|;Drank tea:Played games late;;4854
2015-12-11 23:59:28;2015-12-12 06:10:11;73%;6:10;:|;Drank tea:Played games late;;5188
2015-12-13 23:44:29;2015-12-14 05:20:35;63%;5:36;:|;;;3188
2015-12-15 00:06:51;2015-12-15 06:23:41;74%;6:16;:|;Worked on Kaggle at night;;4349
2015-12-15 23:27:48;2015-12-16 05:45:08;72%;6:17;:|;Read for 30m:Stressful day;;1008
2015-12-16 23:39:37;2015-12-17 06:19:56;76%;6:40;:|;Out late;;8574
2015-12-18 00:20:58;2015-12-18 06:30:33;70%;6:09;:(;Worked on Kaggle at night;;5064
2015-12-19 00:26:51;2015-12-19 07:02:19;76%;6:35;:|;Stressful day;;4581
2015-12-23 00:44:24;2015-12-23 07:28:40;77%;6:44;:(;Played games late;;7496
2016-01-03 23:11:53;2016-01-04 05:50:21;74%;6:38;:|;Played games late;;9391
2016-01-04 23:32:25;2016-01-05 05:46:53;74%;6:14;:(;Played games late;;3972
2016-01-05 22:16:36;2016-01-06 05:16:51;81%;7:00;:(;;;3851
2016-01-06 22:35:57;2016-01-07 06:00:23;74%;7:24;:|;;;3605
2016-01-08 00:19:38;2016-01-08 06:00:19;50%;5:40;:(;Played games late;;7422
2016-01-10 23:01:09;2016-01-11 05:45:57;68%;6:44;:|;Played games late;;2596
2016-01-11 21:31:37;2016-01-12 05:59:38;100%;8:28;:(;;;4427
2016-01-12 23:20:13;2016-01-13 05:45:27;73%;6:25;:(;Worked on Kaggle at night;;3295
2016-01-14 00:16:49;2016-01-14 05:22:24;55%;5:05;:|;Played games late;;7492
2016-01-14 23:25:39;2016-01-15 05:55:46;78%;6:30;:|;Worked on Kaggle at night;;1950
2016-01-17 00:13:23;2016-01-17 06:57:16;64%;6:43;:|;Played games late;;943
2016-01-17 22:40:12;2016-01-18 05:30:03;77%;6:49;:|;Played games late;;3271
2016-01-18 23:48:34;2016-01-19 06:09:52;70%;6:21;:|;Worked on Kaggle at night;;3558
2016-01-19 22:51:30;2016-01-20 05:55:55;67%;7:04;:|;Read for 30m;;4468
2016-01-20 23:27:25;2016-01-21 05:26:06;61%;5:58;:|;;;5062
2016-01-22 00:20:49;2016-01-22 06:14:59;44%;5:54;:|;;;3374
2016-01-23 23:19:44;2016-01-24 07:30:38;86%;8:10;:|;;;3379
2016-01-24 23:51:38;2016-01-25 06:15:58;67%;6:24;:|;Worked on Kaggle at night;;5889
2016-01-25 22:36:43;2016-01-26 06:15:38;52%;7:38;:|;;;5394
2016-01-27 00:00:01;2016-01-27 05:33:52;62%;5:33;:|;;;3664
2016-01-28 00:14:33;2016-01-28 06:15:02;67%;6:00;:(;Worked on Kaggle at night;;3943
2016-01-28 22:42:03;2016-01-29 05:45:20;74%;7:03;:|;;;5949
2016-01-31 23:27:54;2016-02-01 05:45:33;70%;6:17;:|;Worked on Kaggle at night;;4459
2016-02-01 23:03:56;2016-02-02 05:44:46;75%;6:40;:|;Worked on Kaggle at night;;4496
2016-02-02 23:18:50;2016-02-03 05:58:18;73%;6:39;:|;;;4864
2016-02-03 22:49:38;2016-02-04 05:33:26;71%;6:43;:|;;;3383
2016-02-04 22:25:15;2016-02-05 05:48:43;79%;7:23;:|;Stressful day:Worked out;;3788
2016-02-07 23:49:36;2016-02-08 05:50:47;58%;6:01;:|;Worked on Kaggle at night;;2506
2016-02-08 22:52:22;2016-02-09 05:44:26;52%;6:52;:|;;;6705
2016-02-09 22:08:09;2016-02-10 05:06:34;80%;6:58;:|;Worked out;;5323
2016-02-10 23:12:08;2016-02-11 04:50:39;60%;5:38;:|;Ate late:Stressful day;;9598
2016-02-11 23:15:33;2016-02-12 04:41:27;64%;5:25;:|;Worked on Kaggle at night:Worked out;;6633
2016-02-15 22:59:15;2016-02-16 05:27:14;71%;6:27;:(;;;3060
2016-02-16 23:02:13;2016-02-17 05:26:54;67%;6:24;:|;Played games late;;4507
2016-02-17 22:57:09;2016-02-18 05:20:40;73%;6:23;:|;Worked on Kaggle at night;;5832
2016-02-18 22:19:07;2016-02-19 05:24:34;79%;7:05;:|;Worked out;;4639
2016-02-19 23:14:48;2016-02-20 05:30:12;60%;6:15;:|;Played games late;;3441
2016-02-21 22:34:47;2016-02-22 05:29:38;80%;6:54;:|;Worked on Kaggle at night;;2652
2016-02-22 23:10:24;2016-02-23 05:16:54;71%;6:06;:(;Worked on Kaggle at night;;3602
2016-02-23 22:01:29;2016-02-24 05:28:55;91%;7:27;:(;;;3388
2016-02-24 23:27:13;2016-02-25 05:09:18;65%;5:42;:(;Played games late;;4678
2016-02-25 22:30:47;2016-02-26 05:08:13;67%;6:37;:|;;;4250
2016-02-28 22:04:05;2016-02-29 05:30:16;80%;7:26;:|;Played games late;;4024
2016-02-29 22:39:34;2016-03-01 05:30:01;78%;6:50;:|;;;4344
2016-03-01 23:06:30;2016-03-02 05:30:20;74%;6:23;:|;Played games late;;5473
2016-03-02 22:49:16;2016-03-03 05:21:19;78%;6:32;:|;;;4422
2016-03-03 23:35:36;2016-03-04 06:01:43;50%;6:26;:|;;;4394
2016-03-06 22:41:20;2016-03-07 06:00:46;79%;7:19;:|;;;3423
2016-03-07 23:04:38;2016-03-08 05:59:29;82%;6:54;:|;;;4558
2016-03-08 23:28:55;2016-03-09 05:58:57;74%;6:30;:|;;;4940
2016-03-09 23:08:50;2016-03-10 05:39:59;69%;6:31;:|;;;2213
2016-03-13 23:35:57;2016-03-14 05:59:59;77%;6:24;:|;;;5543
2016-03-14 23:36:54;2016-03-15 06:00:46;63%;6:23;:|;;;4089
2016-03-15 23:16:05;2016-03-16 06:00:12;75%;6:44;:|;;;8736
2016-03-16 23:20:39;2016-03-17 05:59:41;77%;6:39;:|;;;3907
2016-03-17 23:37:22;2016-03-18 06:00:27;68%;6:23;:|;;;4604
2016-03-19 00:04:26;2016-03-19 06:00:37;68%;5:56;;;;5422
2016-03-20 00:36:02;2016-03-20 06:15:07;66%;5:39;:|;Played games late;;3415
2016-03-22 00:03:33;2016-03-22 06:15:37;71%;6:12;:|;Worked on projects late;;4737
2016-03-23 00:22:40;2016-03-23 06:10:34;71%;5:47;:(;Worked on projects late;;3812
2016-03-23 23:16:21;2016-03-24 06:11:50;75%;6:55;:);Worked on projects late;;2548
2016-03-24 22:29:03;2016-03-25 06:14:34;77%;7:45;:|;Watched tv late;;2995
2016-03-26 00:52:59;2016-03-26 06:12:55;66%;5:19;:|;Worked on Kaggle at night;;5239
2016-03-27 23:03:52;2016-03-28 06:00:02;69%;6:56;:|;;;6640
2016-03-28 23:25:16;2016-03-29 05:59:22;66%;6:34;:|;Worked on Kaggle at night;;4756
2016-03-29 23:49:16;2016-03-30 06:00:03;65%;6:10;:|;Worked on Kaggle at night;;4882
2016-03-30 23:11:35;2016-03-31 06:00:49;81%;6:49;:|;Worked on projects late;;3941
2016-03-31 22:44:18;2016-04-01 05:59:54;70%;7:15;:|;Worked on projects late;;4562
2016-04-01 22:30:50;2016-04-02 01:43:50;27%;3:13;;;;7638
2016-04-03 22:28:16;2016-04-04 05:59:44;75%;7:31;:|;;;10335
2016-04-04 22:44:47;2016-04-05 05:59:09;76%;7:14;:|;Worked on Kaggle at night;;4062
2016-04-05 22:17:24;2016-04-06 05:37:20;89%;7:19;:|;Worked on Kaggle at night;;7209
2016-04-06 22:49:18;2016-04-07 05:59:50;69%;7:10;:(;;;4563
2016-04-07 22:15:37;2016-04-08 05:47:35;94%;7:31;:|;Out late;;11227
2016-04-10 23:08:31;2016-04-11 05:44:04;69%;6:35;:|;Worked on projects late;;8513
2016-04-11 23:27:27;2016-04-12 06:01:12;77%;6:33;:|;Worked on projects late;;4181
2016-04-12 23:13:36;2016-04-13 05:57:55;79%;6:44;:|;Worked on projects late;;8019
2016-04-13 22:39:51;2016-04-14 06:00:54;77%;7:21;:(;;;4518
2016-04-14 22:36:25;2016-04-15 06:00:40;86%;7:24;:|;Worked on projects late;;3295
2016-04-17 22:32:18;2016-04-18 02:27:18;0%;0:00;;Watched tv late;;6065
2016-04-18 23:13:42;2016-04-19 06:00:21;79%;6:46;:|;Worked on projects late;;6454
2016-04-19 23:12:20;2016-04-20 06:00:46;79%;6:48;:|;Worked on projects late;;4350
2016-04-20 22:21:13;2016-04-21 05:44:03;84%;7:22;:|;;;4799
2016-04-21 23:02:14;2016-04-22 06:01:07;79%;6:58;:|;Worked on projects late;;8994
2016-04-22 23:15:34;2016-04-22 23:32:35;0%;0:00;;Worked on projects late;;3653
2016-04-24 23:26:30;2016-04-25 05:43:55;76%;6:17;:(;Worked on projects late;;3447
2016-04-25 22:58:03;2016-04-26 05:39:37;73%;6:41;:|;Worked on projects late;;10416
2016-04-26 21:55:47;2016-04-27 05:44:23;89%;7:48;:|;None;;4296
2016-04-27 22:14:06;2016-04-28 05:40:07;81%;7:26;:|;;;3927
2016-04-28 22:56:29;2016-04-29 05:30:00;73%;6:33;:|;Worked on projects late;;13653
2016-04-29 22:19:52;2016-04-30 05:31:32;80%;7:11;:|;;;5047
2016-05-01 23:28:44;2016-05-02 05:56:21;67%;6:27;:|;;;12899
2016-05-02 22:34:29;2016-05-03 05:54:49;81%;7:20;:|;;;11588
2016-05-03 22:41:43;2016-05-04 05:50:27;84%;7:08;:|;Worked on projects late;;14157
2016-05-04 22:24:26;2016-05-05 05:42:23;80%;7:17;:|;;;6198
2016-05-05 22:57:29;2016-05-06 05:52:58;82%;6:55;:|;Worked on projects late;;4333
2016-05-07 23:55:56;2016-05-08 06:00:41;73%;6:04;:|;;;6112
2016-05-08 20:11:36;2016-05-09 03:30:40;61%;7:19;:|;;;3745
2016-05-09 20:29:31;2016-05-10 03:00:42;62%;6:31;:|;Worked on projects late;;13705
2016-05-10 21:42:31;2016-05-11 03:12:27;50%;5:29;:|;Out late;;8787
2016-05-11 22:40:47;2016-05-12 03:36:59;51%;4:56;:|;Out late;;7162
2016-05-16 21:29:27;2016-05-17 04:45:22;70%;7:15;:|;;;18099
2016-05-17 20:20:57;2016-05-18 03:55:49;57%;7:34;:|;Out late;;5999
2016-05-18 19:52:45;2016-05-19 03:59:17;84%;8:06;:|;Worked out;;10225
2016-05-19 21:02:15;2016-05-20 03:49:14;29%;6:46;:|;Worked on projects late;;10083
2016-05-20 20:17:14;2016-05-21 04:00:19;83%;7:43;:|;;;12509
2016-05-21 20:21:26;2016-05-22 04:04:14;83%;7:42;:|;Out late;;12586
2016-05-22 19:51:06;2016-05-23 04:01:57;93%;8:10;:|;;;10156
2016-05-23 20:39:33;2016-05-24 01:00:53;45%;4:21;:|;Played games late;;10913
2016-05-25 22:33:24;2016-05-26 06:19:34;90%;7:46;:);;;6143
2016-05-26 22:30:43;2016-05-27 05:53:39;87%;7:22;:|;;;7524
2016-05-30 23:13:10;2016-05-31 05:55:50;70%;6:42;:|;;;5234
2016-05-31 22:34:17;2016-06-01 05:53:31;84%;7:19;:|;;;10153
2016-06-01 23:03:43;2016-06-02 05:30:41;70%;6:26;:|;Worked on projects late:Worked out;;4725
2016-06-02 23:30:50;2016-06-03 05:33:27;61%;6:02;:(;Worked on projects late:Worked out;;18024
2016-06-04 00:19:34;2016-06-04 05:37:58;58%;5:18;:(;Out late;;11930
2016-06-05 23:01:04;2016-06-06 06:00:59;80%;6:59;:|;Watched tv late;;4759
2016-06-06 23:51:17;2016-06-07 05:59:23;67%;6:08;:|;Watched tv late;;11322
2016-06-07 23:11:15;2016-06-08 05:39:21;75%;6:28;:(;Watched tv late:Worked out;;15139
2016-06-08 22:41:37;2016-06-09 06:14:36;82%;7:32;:(;Worked on projects late:Worked out;;9262
2016-06-09 23:24:59;2016-06-10 05:54:30;66%;6:29;:(;Worked on projects late:Worked out;;15543
2016-06-11 22:51:56;2016-06-12 00:15:57;17%;1:24;;Watched tv late;;10502
2016-06-12 22:43:33;2016-06-13 06:00:33;82%;7:16;:|;Watched tv late;;20936
2016-06-13 23:07:24;2016-06-14 05:59:53;78%;6:52;:|;Watched tv late;;8612
2016-06-14 22:39:15;2016-06-15 05:59:34;69%;7:20;:(;Watched tv late;;6085
2016-06-15 22:59:55;2016-06-16 06:00:58;86%;7:01;:|;Watched tv late;;9258
2016-06-16 23:54:41;2016-06-17 05:58:10;70%;6:03;:|;Watched tv late;;15497
2016-06-17 22:57:40;2016-06-18 06:08:29;81%;7:10;:|;Watched tv late;;11336
2016-06-18 23:19:53;2016-06-19 05:15:35;70%;5:55;:|;Watched tv late;;14586
2016-06-19 23:05:54;2016-06-20 06:01:36;77%;6:55;:|;Watched tv late:Worked out;;18359
2016-06-21 00:31:41;2016-06-21 06:02:31;63%;5:30;:(;Watched tv late;;9064
2016-06-21 22:24:03;2016-06-22 06:00:02;78%;7:35;:|;Worked out;;17085
2016-06-22 23:02:14;2016-06-23 05:59:39;75%;6:57;:|;Watched tv late;;9098
2016-06-23 22:15:59;2016-06-24 01:02:59;0%;0:00;;Watched tv late;;4705
2016-06-24 22:40:44;2016-06-25 06:06:29;89%;7:25;:|;;;10365
2016-06-26 22:21:38;2016-06-27 06:00:05;77%;7:38;:|;;;19190
2016-06-27 22:00:34;2016-06-28 05:50:12;89%;7:49;:|;;;8599
2016-06-28 22:49:40;2016-06-29 05:17:59;75%;6:28;:|;Watched tv late;;21666
2016-06-29 22:52:55;2016-06-30 05:28:52;79%;6:35;:|;;;11901
2016-06-30 22:52:09;2016-07-01 05:25:40;72%;6:33;:|;Watched tv late;;13850
2016-07-01 22:56:56;2016-07-02 05:47:22;79%;6:50;:|;Watched tv late;;10714
2016-07-05 22:42:01;2016-07-06 06:00:04;81%;7:18;:(;Watched tv late;;8260
2016-07-06 22:59:08;2016-07-07 05:27:46;71%;6:28;:(;Watched tv late;;13622
2016-07-07 23:18:01;2016-07-08 05:29:13;73%;6:11;:|;Watched tv late;;10721
2016-07-10 23:25:31;2016-07-11 06:00:22;76%;6:34;:|;Worked on projects late;;9351
2016-07-12 00:08:36;2016-07-12 05:59:25;61%;5:50;:|;Watched tv late:Worked out;;16709
2016-07-12 23:05:45;2016-07-13 05:35:42;70%;6:29;:|;Watched tv late;;6721
2016-07-13 22:12:06;2016-07-14 04:30:30;67%;6:18;:|;Watched tv late;;16238
2016-07-14 21:56:08;2016-07-15 04:00:14;63%;6:04;:|;;;7894
2016-07-15 22:38:54;2016-07-16 03:05:16;49%;4:26;:|;;;14541
2016-07-17 23:34:17;2016-07-18 06:05:34;75%;6:31;:|;Watched tv late;;1200
2016-07-18 23:31:39;2016-07-19 06:06:14;74%;6:34;:|;Watched tv late;;5608
2016-07-19 23:34:59;2016-07-20 05:30:06;67%;5:55;:|;Watched tv late;;5355
2016-07-20 23:32:52;2016-07-21 05:43:17;76%;6:10;:|;Worked on Kaggle at night;;6337
2016-07-21 23:07:40;2016-07-22 05:25:04;70%;6:17;:|;Worked on Kaggle at night;;11499
2016-07-24 21:48:14;2016-07-25 05:59:58;88%;8:11;:|;;;20779
2016-07-25 22:08:17;2016-07-26 05:34:59;83%;7:26;:|;;;7956
2016-07-26 23:16:52;2016-07-27 04:51:21;62%;5:34;:(;Worked on projects late;;7697
2016-07-27 23:55:10;2016-07-28 05:58:07;70%;6:02;:|;Worked on projects late;;9313
2016-07-28 23:07:38;2016-07-29 05:30:25;71%;6:22;:|;Worked on projects late;;8190
2016-07-29 22:49:26;2016-07-30 05:59:31;81%;7:10;:(;Watched tv late;;10467
2016-07-31 22:31:40;2016-08-01 05:30:53;76%;6:59;:|;;;10389
2016-08-01 22:34:26;2016-08-02 05:20:47;74%;6:46;:|;;;6275
2016-08-02 22:48:36;2016-08-03 05:19:45;73%;6:31;:|;;;6695
2016-08-03 22:56:09;2016-08-04 06:20:39;78%;7:24;:|;;;7842
2016-08-05 00:04:29;2016-08-05 06:22:10;67%;6:17;:|;Worked on projects late;;5131
2016-08-07 22:57:23;2016-08-08 06:00:48;75%;7:03;:|;Worked on projects late;;7712
2016-08-08 23:17:21;2016-08-09 05:45:03;69%;6:27;:|;Worked on projects late;;5372
2016-08-09 23:06:21;2016-08-10 05:59:41;72%;6:53;:|;Watched tv late;;6778
2016-08-10 22:49:40;2016-08-11 05:30:49;69%;6:41;:|;Watched tv late;;12524
2016-08-11 23:15:12;2016-08-12 05:54:49;72%;6:39;:|;Watched tv late;;6248
2016-08-12 22:40:02;2016-08-13 08:52:47;82%;10:12;:);Worked out;;21142
2016-08-14 01:43:05;2016-08-14 06:31:08;48%;4:48;:|;Out late:Watched tv late;;13477
2016-08-14 22:17:04;2016-08-15 05:55:23;76%;7:38;:|;Watched tv late;;8293
2016-08-15 22:17:22;2016-08-16 05:31:05;77%;7:13;:|;;;7747
2016-08-16 22:34:35;2016-08-17 05:29:54;75%;6:55;:|;;;12451

