Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2013-04-17 20:10:33;2013-04-18 03:31:10;71%;7:20;;;;0
2013-04-18 20:25:32;2013-04-19 03:01:11;67%;6:35;;;;0
2013-04-20 20:30:13;2013-04-21 04:53:17;82%;8:23;;;;0
2013-04-21 20:32:36;2013-04-22 03:43:29;63%;7:10;;;;0
2013-04-22 20:12:41;2013-04-23 03:10:31;65%;6:57;;;;0
2013-04-23 19:56:08;2013-04-24 03:12:33;70%;7:16;;;;0
2013-04-24 20:30:14;2013-04-25 03:14:16;67%;6:44;;;;0
2013-04-25 20:55:12;2013-04-26 03:20:29;68%;6:25;;Drank coffee;;0
2013-04-26 19:42:01;2013-04-27 04:40:04;70%;8:58;;;;0
2013-04-27 21:15:25;2013-04-28 04:21:58;67%;7:06;;;;0
2013-04-28 20:58:46;2013-04-29 03:30:57;74%;6:32;;;;0
2013-04-29 20:10:16;2013-04-30 03:30:12;75%;7:19;;;;0
2013-04-30 20:34:42;2013-05-01 03:31:08;74%;6:56;;;;0
2013-05-01 20:57:44;2013-05-02 03:15:39;67%;6:17;;;;0
2013-05-02 19:57:52;2013-05-03 03:11:00;72%;7:13;;;;0
2013-05-05 20:41:08;2013-05-06 03:09:45;72%;6:28;;;;0
2013-05-06 19:29:19;2013-05-07 02:59:51;73%;7:30;;;;0
2013-05-07 18:59:08;2013-05-08 02:58:30;75%;7:59;;;;0
2013-05-08 19:46:56;2013-05-09 02:58:57;62%;7:12;;;;0
2013-05-09 21:14:50;2013-05-10 03:31:26;56%;6:16;;;;0
2013-05-12 19:38:33;2013-05-13 03:34:58;53%;7:56;;;;0
2013-05-13 21:12:42;2013-05-14 03:29:25;53%;6:16;;;;0
2013-05-14 20:56:42;2013-05-15 03:24:51;71%;6:28;;;;0
2013-05-15 21:19:24;2013-05-16 03:31:24;40%;6:12;;;;0
2013-05-16 20:57:06;2013-05-17 03:32:31;64%;6:35;;;;0
2013-05-19 20:09:04;2013-05-20 03:33:00;78%;7:23;;;;0
2013-05-20 20:07:31;2013-05-21 03:25:54;75%;7:18;;;;0
2013-05-21 20:38:15;2013-05-22 03:35:24;72%;6:57;;;;0
2013-05-22 21:00:48;2013-05-23 03:27:55;76%;6:27;;;;0
2013-05-23 21:05:17;2013-05-24 03:30:42;74%;6:25;;;;0
2013-05-27 20:46:46;2013-05-28 03:12:25;65%;6:25;;;;0
2013-05-28 20:45:06;2013-05-29 03:00:47;74%;6:15;;;;0
2013-05-29 21:47:37;2013-05-30 02:40:56;47%;4:53;;;;0
2013-05-30 20:55:51;2013-05-31 03:16:56;61%;6:21;;;;0
2013-06-01 20:06:47;2013-06-02 03:19:32;66%;7:12;;;;0
2013-06-02 20:34:06;2013-06-03 02:59:45;66%;6:25;;;;0
2013-06-03 20:46:14;2013-06-04 03:00:15;66%;6:14;;;;0
2013-06-04 19:11:51;2013-06-05 02:55:43;89%;7:43;;;;0
2013-06-05 20:29:37;2013-06-06 02:46:29;58%;6:16;;;;0
2013-06-06 20:33:00;2013-06-07 02:55:25;62%;6:22;;;;0
2013-06-07 21:14:28;2013-06-08 04:57:27;76%;7:42;;;;0
2013-06-08 23:04:51;2013-06-09 04:55:33;58%;5:50;;;;0
2013-06-09 20:40:19;2013-06-10 03:04:37;64%;6:24;;;;0
2013-06-10 20:31:25;2013-06-11 03:14:25;69%;6:42;;;;0
2013-06-11 20:28:45;2013-06-12 02:45:08;57%;6:16;;;;0
2013-06-12 20:17:31;2013-06-13 03:00:39;59%;6:43;;;;0
2013-06-13 20:44:37;2013-06-14 03:06:38;62%;6:22;;;;0
